Dato;Ydelse;Afdrag;Rente;Bidrag;Restgaeld
30-12-2024;13210;5120;6055;2494;915047
31-03-2025;13084;5153;6021;2480;909893
30-06-2025;13073;5187;5987;2466;904705
30-09-2025;13063;5222;5954;2453;899484
31-12-2025;13052;5256;5919;2438;894228
31-03-2026;13041;5291;5885;2424;888937
30-06-2026;13030;5326;5850;2410;883611
30-09-2026;13019;5361;5815;2395;878251
31-12-2026;13008;5396;5780;2381;872855
31-03-2027;12996;5432;5744;2366;867423
30-06-2027;12985;5467;5708;2352;861956
30-09-2027;12594;5741;5055;2337;856214
31-12-2027;12582;5775;5021;2321;850439
31-03-2028;12570;5809;4987;2306;844630
30-06-2028;12558;5843;4953;2290;838787
30-09-2028;12546;5877;4919;2274;832910
31-12-2028;12533;5912;4884;2258;826998
31-03-2029;13038;5946;4850;2242;821052
30-06-2029;13022;5981;4815;2226;815071
30-09-2029;13006;6016;4780;2210;809055
31-12-2029;12989;6052;4744;2193;803003
31-03-2030;12973;6087;4709;2177;796916
30-06-2030;12956;6123;4673;2160;790793
30-09-2030;12944;6156;4644;2144;784637
31-12-2030;12927;6192;4608;2127;778445
31-03-2031;12910;6229;4571;2110;772216
30-06-2031;12893;6265;4535;2093;765951
30-09-2031;12876;6302;4498;2076;759649
31-12-2031;12859;6339;4461;2059;753311
31-03-2032;12842;6376;4424;2042;746934
30-06-2032;12825;6414;4386;2025;740521
30-09-2032;12808;6451;4349;2008;734070
31-12-2032;12790;6489;4311;1990;727581
31-03-2033;12772;6527;4273;1972;721053
30-06-2033;12755;6566;4234;1955;714488
30-09-2033;12742;6601;4204;1937;707887
31-12-2033;12724;6640;4165;1919;701247
31-03-2034;12706;6679;4126;1901;694569
30-06-2034;12688;6718;4087;1883;687851
30-09-2034;12669;6758;4047;1865;681093
31-12-2034;12651;6797;4007;1846;674296
31-03-2035;12633;6837;3967;1828;667459
30-06-2035;12614;6878;3927;1809;660581
30-09-2035;12596;6918;3887;1791;653663
31-12-2035;12577;6959;3846;1772;646704
31-03-2036;12558;7000;3805;1753;639705
30-06-2036;12539;7041;3764;1734;632664
30-09-2036;12525;7078;3732;1715;625586
31-12-2036;12506;7120;3690;1696;618466
31-03-2037;12487;7162;3648;1677;611304
30-06-2037;12468;7204;3606;1657;604100
30-09-2037;12448;7247;3564;1638;596853
31-12-2037;12428;7289;3521;1618;589564
31-03-2038;12409;7332;3478;1598;582231
30-06-2038;12389;7376;3435;1578;574856
30-09-2038;12369;7419;3391;1558;567436
31-12-2038;12349;7463;3347;1538;559974
31-03-2039;12328;7507;3303;1518;552467
30-06-2039;12308;7551;3259;1498;544915
30-09-2039;12294;7591;3227;1477;537325
31-12-2039;12274;7636;3182;1457;529689
31-03-2040;12253;7681;3136;1436;522009
30-06-2040;12232;7726;3091;1415;514282
30-09-2040;12211;7772;3045;1394;506510
31-12-2040;12190;7818;2999;1373;498692
31-03-2041;12169;7864;2953;1352;490828
30-06-2041;12148;7911;2906;1331;482917
30-09-2041;12126;7958;2859;1309;474960
31-12-2041;12105;8005;2812;1288;466955
31-03-2042;12083;8052;2765;1266;458903
30-06-2042;12061;8100;2717;1244;450803
30-09-2042;12048;8141;2685;1222;442662
31-12-2042;12026;8189;2636;1200;434472
31-03-2043;12004;8238;2588;1178;426234
30-06-2043;11981;8287;2539;1156;417947
30-09-2043;11959;8337;2489;1133;409611
31-12-2043;11936;8386;2440;1110;401224
31-03-2044;11914;8436;2390;1088;392788
30-06-2044;11891;8486;2339;1065;384302
30-09-2044;11868;8537;2289;1042;375765
31-12-2044;11844;8588;2238;1019;367177
31-03-2045;11821;8639;2187;995;358538
30-06-2045;11798;8690;2135;972;349847
30-09-2045;11786;8732;2105;948;341115
31-12-2045;11762;8785;2053;925;332330
31-03-2046;11739;8838;2000;901;323492
30-06-2046;11715;8891;1947;877;314601
30-09-2046;11691;8944;1893;853;305657
31-12-2046;11666;8998;1839;829;296659
31-03-2047;11642;9052;1785;804;287606
30-06-2047;11617;9107;1731;780;278499
30-09-2047;11593;9162;1676;755;269337
31-12-2047;11568;9217;1621;730;260121
31-03-2048;11543;9272;1565;705;250848
30-06-2048;11518;9328;1510;680;241520
30-09-2048;11511;9369;1488;655;232151
31-12-2048;11486;9426;1430;629;222725
31-03-2049;11460;9484;1372;604;213241
30-06-2049;11435;9543;1314;578;203698
30-09-2049;11409;9602;1255;552;194096
31-12-2049;11383;9661;1196;526;184436
31-03-2050;11357;9720;1136;500;174715
30-06-2050;11330;9780;1076;474;164935
30-09-2050;11304;9840;1016;447;155095
31-12-2050;11277;9901;956;420;145194
31-03-2051;11250;9962;895;394;135232
30-06-2051;11223;10023;833;367;125208
30-09-2051;11242;10048;855;339;115160
31-12-2051;11215;10116;787;312;105044
31-03-2052;11188;10186;718;285;94858
30-06-2052;11160;10255;648;257;84603
30-09-2052;11132;10325;578;229;74278
31-12-2052;11104;10396;507;201;63882
31-03-2053;11076;10467;436;173;53416
30-06-2053;11048;10538;365;145;42878
30-09-2053;11019;10610;293;116;32267
31-12-2053;10991;10683;220;87;21585
31-03-2054;10962;10756;147;59;10829
30-06-2054;10932;10829;74;29;0
